Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0,0.20304534794782056,0.18170005498303995,-9.669110437822466,0.14144392046225762,0.18510016130996612,0.2099750709325451
0.01,0.2112809645147964,0.14435613868494054,-9.599653952530186,0.0399633309070854,0.22977289839677817,-0.07914872703495798
0.02,0.24812560570849346,0.2560642490090292,-9.589569054101114,0.17724456026151486,0.1756673531136698,0.20092436242245135
0.03,0.201623016373396,0.18728278824355277,-9.621564992587802,0.07934693121260558,0.32015538065225724,0.2778070888771259
0.04,0.12079225257113499,0.09787235524973902,-9.636760427472332,0.09934574446383233,0.25806854456671857,0.2586519711563291
0.05,0.22339040102600666,0.10477304637047215,-9.567551960373384,0.002024586676348028,-0.06705424439708296,0.04415120542988175
0.06,0.18410530392641059,0.13174762342591595,-9.675802325498852,0.15734296691828056,0.07011673876293524,0.16871555833887097
0.07,0.27794894117640917,0.047041989888831764,-9.65717747548173,0.10300150442442338,0.1526012020593519,-0.032952532011279345
0.08,0.24837823033741369,-0.003820000587370004,-9.556257854850866,0.19028088597311646,0.20737294179565158,0.14848786292739474
0.09,0.2139666596483228,0.05632835719740445,-9.59512142573982,0.007972550133546225,0.09743658625298532,0.04768917504650763
0.1,0.09861629445133245,-0.11703553016017465,-9.6530376494475,0.026711695951300796,0.05282705716030774,0.053390848527126764
0.11,0.28606724562419833,-0.033917103252355835,-9.591467017359568,0.19244692920153728,0.003668944315764505,0.10316168371551024
0.12,0.14205118916862788,-0.0229388797583088,-9.704225059870668,-0.04828079693649234,0.060131581563412195,0.04480753627672082
0.13,0.18255239084311822,0.027974347372168917,-9.71519259130995,0.08324236076277222,-0.01719225134637334,-0.007012063813573929
0.14,0.1907987078917311,-0.10525032949093854,-9.665709595318159,0.1050739604330967,0.017594124920365592,-0.0077005116796605155
0.15,0.18013906485745929,-0.17965086325919272,-9.615651899649315,-0.04208278849902508,0.1859070679360496,0.10382119573193839
0.16,0.2123284129378181,-0.14825118794553294,-9.630977302425359,0.1331154911727243,0.21992038668185068,0.14930767818795945
0.17,0.2835120374463138,-0.11388549824905458,-9.58209208539997,0.015348810900347204,0.008204614493763945,0.1332496383301943
0.18,0.22297054700167837,-0.023360488973377447,-9.592571291218615,-0.05240401171283526,0.14111525580589412,-0.11303204232788647
0.19,0.25030033962055365,-0.292979499272122,-9.67689960631717,0.008538170682879626,0.009312066140250472,0.10713424646527962
0.2,0.07869859838820865,-0.2597235424990863,-9.708907411337009,0.32255987835677435,0.10659304993562609,-0.06428004358460582
0.21,0.17031405608350345,-0.2584828318592724,-9.650731350892155,0.21837810526283652,0.11514008771535411,0.13215734659705725
0.22,0.1958726483129621,-0.3379358410475645,-9.65395218303925,0.01613342911090554,0.15288207562691575,0.031507025271865094
0.23,0.16680764655764982,-0.28664170760286106,-9.60016690958829,0.23812568053763417,-0.008570238829289714,-0.010860452912689902
0.24,0.15832850845064989,-0.26292886297099954,-9.643021421947084,0.12175865328419914,0.13999469048578297,0.016122124537816737
0.25,0.2462751281951898,-0.35939560058920356,-9.637027556436067,0.10955511309777904,0.12036107405988516,0.043792768875278804
0.26,0.23208503057561097,-0.28578205383721617,-9.470685787030918,0.17128626050665446,0.05332273154071622,-0.06030972382462879
0.27,0.1067329860776192,-0.3754960404129551,-9.577953731734912,0.18896526972871733,-0.058205495856477135,-0.006144275566114965
